mp-id, label, stoichiometry
mp-1000,1, Ba: 1.0;Te: 1.0
mp-10009,0, Ga: 4.0;Te: 4.0
mp-1001012,0, Sc: 4.0;Zn: 2.0;S: 8.0
mp-1001015,0, Y: 4.0;Zn: 2.0;S: 8.0
mp-1001019,0, Mg: 2.0;Sc: 4.0;Se: 8.0
mp-1001024,0, Y: 4.0;Mg: 2.0;S: 8.0
mp-1001034,0, Mg: 2.0;In: 4.0;Se: 8.0
mp-1001112,0, Na: 16.0;H: 24.0;C: 8.0;O: 48.0
mp-1001604,1, Lu: 1.0;Tl: 1.0;S: 2.0
mp-1001611,1, Lu: 1.0;Tl: 1.0;Se: 2.0
mp-1001780,1, Lu: 1.0;Cu: 1.0;S: 2.0
mp-1001786,1, Li: 1.0;Sc: 1.0;S: 2.0
mp-1001831,0, Li: 2.0;B: 2.0
mp-1002063,0, Sn: 2.0;S: 4.0
mp-1002080,1, Cs: 1.0;Li: 1.0;I: 1.0;Cl: 1.0
mp-1002124,0, Hf: 1.0;C: 1.0
mp-1002569,0, Mg: 2.0;Mn: 2.0;O: 4.0
mp-1002570,1, K: 4.0;Mn: 4.0;O: 8.0
mp-1002572,1, Li: 4.0;Mn: 4.0;O: 8.0
mp-1002574,1, K: 4.0;Mn: 4.0;O: 8.0
mp-1003311,0, Ca: 1.0;Mn: 2.0;O: 4.0
mp-1003320,0, Ca: 4.0;Mn: 16.0;O: 32.0
mp-1003322,1, Ca: 4.0;Mn: 4.0;O: 8.0
mp-1003402,1, Ca: 4.0;Mn: 4.0;O: 8.0
mp-1003437,1, K: 8.0;Mn: 16.0;O: 32.0
mp-1003548,1, Ca: 4.0;Mn: 8.0;O: 16.0
mp-1003856,0, Mg: 4.0;Mn: 4.0;O: 8.0
mp-1003920,0, Mn: 8.0;H: 4.0;O: 16.0
mp-10044,1, B: 1.0;As: 1.0
mp-1006058,0, U: 2.0;Cd: 4.0;O: 10.0
mp-1006118,1, P: 4.0;S: 14.0
mp-1006878,1, Ba: 1.0;O: 2.0
mp-1006885,1, K: 1.0;Nd: 1.0;S: 2.0
mp-1006888,1, K: 1.0;Y: 1.0;S: 2.0
mp-1006891,1, K: 1.0;Sm: 1.0;Se: 2.0
mp-10070,0.3948, Ba: 4.0;Ag: 4.0;P: 12.0;O: 36.0
mp-10074,0.35, Ge: 2.0;Se: 4.0
mp-1007636,1, K: 1.0;Lu: 1.0;S: 2.0
mp-1007663,1, Ho: 1.0;Tl: 1.0;Te: 2.0
mp-1007665,1, Ho: 1.0;Tl: 1.0;S: 2.0
mp-1007694,0.5558, Sn: 4.0;P: 4.0;O: 16.0;F: 4.0
mp-1007823,1, Ga: 1.0;B: 1.0;N: 2.0
mp-1007824,1, Ga: 2.0;N: 2.0
mp-1007907,1, Er: 1.0;Tl: 1.0;Te: 2.0
mp-1007908,1, Dy: 1.0;Tl: 1.0;Te: 2.0
mp-1007922,0, Cu: 2.0;I: 2.0
mp-1008223,1, Ca: 1.0;Se: 1.0
mp-1008394,0, Cl: 4.0
mp-1008492,1, Br: 2.0;Cl: 2.0
mp-1008500,1, Ba: 2.0;O: 2.0
mp-1008524,1, Be: 2.0;Se: 2.0
mp-1008528,1, B: 2.0;As: 1.0;P: 1.0
mp-1008556,0, Al: 1.0;Ga: 1.0;N: 2.0
mp-1008557,0, Al: 1.0;B: 1.0;N: 2.0
mp-1008559,1, B: 2.0;P: 2.0
mp-1008561,1, Tm: 1.0;Tl: 1.0;Te: 2.0
mp-10086,0, Y: 2.0;S: 2.0;F: 2.0
mp-1008677,1, Ti: 1.0;O: 2.0
mp-1008680,1, Ti: 1.0;Ge: 1.0;Pt: 1.0
mp-1008786,1, Mg: 1.0;Te: 1.0
mp-1009082,0, Mg: 2.0;Sn: 2.0;As: 4.0
mp-1009083,0, Mg: 2.0;Sn: 2.0;P: 4.0
mp-1009084,1, Be: 2.0;Sn: 2.0;As: 4.0
mp-1009085,0, Be: 2.0;Si: 2.0;P: 4.0
mp-1009086,1, Be: 2.0;Sn: 2.0;P: 4.0
mp-1009087,0, Be: 2.0;Si: 2.0;As: 4.0
mp-1009088,1, Be: 2.0;Ge: 2.0;As: 4.0
mp-10091,1, K: 2.0;V: 2.0;Cu: 4.0;Se: 8.0
mp-1009127,1, Mg: 1.0;O: 1.0
mp-1009129,1, Mg: 1.0;O: 1.0
mp-1009490,0, O: 2.0
mp-10096,0, Na: 6.0;Sr: 6.0;Ga: 2.0;P: 8.0
mp-1009639,1, Pr: 1.0;N: 1.0
mp-10097,0, Na: 6.0;Sr: 6.0;Ga: 2.0;As: 8.0
mp-1009730,1, Ca: 2.0;Sn: 1.0
mp-1009733,1, Ca: 2.0;Si: 1.0
mp-1009746,0, Sc: 1.0;P: 1.0
mp-1009750,1, Sc: 1.0;N: 1.0
mp-1009755,1, Ca: 2.0;Ge: 1.0
mp-1009756,1, Ca: 2.0;Pb: 1.0
mp-1009813,0, Si: 1.0;Sn: 1.0
mp-1009819,0.5614, Sr: 1.0;O: 1.0
mp-1009820,0, Sn: 1.0;C: 1.0
mp-10101,0, Cs: 2.0;Ag: 2.0;C: 4.0
mp-1011695,1, Cs: 2.0;Se: 1.0
mp-1011696,0, Cs: 8.0;Se: 4.0
mp-1012435,1, Pb: 2.0;S: 2.0
mp-1012551,0, Ba: 4.0;Br: 4.0;Cl: 4.0
mp-1012835,1, Sm: 2.0;Cu: 2.0;W: 4.0;O: 16.0
mp-1013527,1, Be: 2.0;Ge: 2.0;P: 4.0
mp-1013544,0, Ca: 3.0;Sb: 1.0;As: 1.0
mp-1013547,0, Ca: 3.0;P: 2.0
mp-1013548,0, Ca: 3.0;Sb: 1.0;N: 1.0
mp-1013550,0, Ca: 3.0;Sb: 1.0;P: 1.0
mp-1013554,0, Sr: 3.0;P: 1.0;N: 1.0
mp-1013555,0, Sr: 3.0;As: 1.0;N: 1.0
mp-1013588,0, Sr: 3.0;Sb: 1.0;P: 1.0
mp-1013726,0, Cd: 8.0;S: 2.0;F: 12.0
mp-1013730,0.1022, Cd: 10.0;S: 8.0;Cl: 4.0
mp-1013737,0, Ba: 3.0;Sb: 1.0;P: 1.0
mp-1013750,0, Sn: 8.0;S: 2.0;F: 12.0
mp-1013760,1, Sn: 10.0;S: 8.0;Cl: 4.0
mp-1013898,1, Li: 2.0;Mo: 6.0;P: 6.0;O: 26.0
mp-1013911,1, Na: 8.0;Co: 4.0;P: 8.0;O: 28.0
mp-1014013,0, P: 4.0
mp-1014168,0, Cs: 2.0;Pb: 2.0;Br: 6.0
mp-1014204,1, Sn: 10.0;S: 8.0;Cl: 4.0
mp-1014244,1, Zr: 1.0;Zn: 1.0;N: 2.0
mp-1014251,1, Hf: 1.0;Zn: 1.0;N: 2.0
mp-10155,1, P: 8.0;Ir: 4.0
mp-10159,0, K: 3.0;Sb: 1.0
mp-1016092,0.1106, Re: 16.0;O: 56.0
mp-1016108,1, Ti: 4.0;Zn: 4.0;N: 8.0
mp-1016120,1, K: 4.0;Mn: 4.0;O: 8.0
mp-1016152,1, Na: 4.0;Mn: 4.0;O: 8.0
mp-1016154,0, Mg: 4.0;Mn: 4.0;O: 8.0
mp-1016190,1, K: 4.0;Mn: 12.0;O: 24.0
mp-1016197,0, Mg: 2.0;Si: 2.0;As: 4.0
mp-1016200,0, Mg: 2.0;Ge: 2.0;As: 4.0
mp-10163,0, Na: 2.0;Al: 2.0;Te: 4.0
mp-10165,1, K: 2.0;Al: 2.0;Te: 4.0
mp-10166,1, Na: 2.0;Al: 2.0;Se: 4.0
mp-1016820,1, Mg: 1.0;Sn: 1.0;O: 3.0
mp-1016821,1, Ba: 1.0;Si: 1.0;O: 3.0
mp-1016825,1, Hf: 1.0;Mg: 1.0;O: 3.0
mp-1016827,1, Mg: 1.0;Ge: 1.0;O: 3.0
mp-1016830,1, Mg: 1.0;Ti: 1.0;O: 3.0
mp-1016873,1, Ca: 1.0;Hf: 1.0;O: 3.0
mp-1016879,1, Cd: 1.0;Si: 1.0;O: 3.0
mp-1016884,1, Ca: 1.0;Ge: 1.0;O: 3.0
mp-1016928,1, Mg: 1.0;Si: 1.0;O: 3.0
mp-1017000,1, Mg: 1.0;Zr: 1.0;O: 3.0
mp-1017439,1, Sr: 1.0;Si: 1.0;O: 3.0
mp-10175,1, K: 1.0;Cd: 1.0;F: 3.0
mp-1017508,1, Lu: 1.0;Tl: 1.0;Te: 2.0
mp-1017510,1, Mg: 2.0;Te: 2.0
mp-1017534,0, Zn: 1.0;Cd: 1.0;Se: 2.0
mp-1017539,0, Zn: 2.0;O: 2.0
mp-1017548,1, Ca: 1.0;Be: 2.0;P: 2.0
mp-1017552,1, Bi: 2.0;O: 3.0
mp-1017567,1, Hf: 2.0;S: 1.0;N: 2.0
mp-1017628,1, Mg: 1.0;Be: 2.0;P: 2.0
mp-1017988,0, Sr: 1.0;Ca: 1.0;O: 2.0
mp-1018025,1, Lu: 1.0;Ag: 1.0;O: 2.0
mp-1018030,0, Sr: 2.0;S: 1.0;O: 1.0
mp-1018031,1, K: 1.0;In: 1.0;O: 2.0
mp-1018033,1, Ag: 1.0;Rh: 1.0;O: 2.0
mp-1018040,0, Mg: 2.0;Se: 2.0
mp-1018049,1, La: 2.0;N: 2.0
mp-1018089,1, Ca: 1.0;Zn: 1.0;Se: 2.0
mp-1018096,0, Ba: 2.0;N: 1.0;F: 1.0
mp-1018097,1, Ba: 1.0;Ca: 1.0;O: 2.0
mp-1018098,0, Ba: 2.0;Br: 1.0;N: 1.0
mp-1018099,0, Ba: 2.0;N: 1.0;Cl: 1.0
mp-1018100,0, Al: 2.0;Sb: 2.0
mp-1018115,1, Pb: 2.0;S: 2.0
mp-10182,1, Li: 1.0;Zn: 1.0;P: 1.0
mp-1018275,1, Ga: 2.0;P: 2.0
mp-1018630,1, Ca: 1.0;Be: 2.0;As: 2.0
mp-1018639,1, Ti: 1.0;Sn: 1.0;O: 3.0
mp-1018650,0, Ba: 2.0;Cl: 1.0;F: 3.0
mp-1018659,0.672, Ce: 2.0;O: 4.0
mp-1018664,1, Ce: 2.0;O: 4.0
mp-1018678,0, Cs: 1.0;H: 1.0;S: 1.0;O: 3.0
mp-1018716,1, Hf: 2.0;N: 4.0
mp-1018719,1, Hf: 1.0;Ta: 1.0;N: 1.0;O: 3.0
mp-1018722,0.616, Hg: 3.0;Se: 3.0
mp-1018731,0, Ho: 2.0;S: 2.0;I: 2.0
mp-1018737,0.406, K: 2.0;Mg: 2.0;P: 2.0
mp-1018752,0, La: 2.0;Te: 2.0;Cl: 2.0
mp-1018766,1, Li: 3.0;La: 1.0;As: 2.0
mp-1018806,0, Mo: 2.0;Se: 2.0;S: 2.0
mp-1018807,1, Mo: 2.0;Se: 4.0
mp-1018809,1, Mo: 2.0;S: 4.0
mp-1018818,0, Nd: 2.0;Te: 2.0;Cl: 2.0
mp-1018888,1, Pd: 2.0;Cl: 4.0
mp-1018891,1, Pd: 2.0;Cl: 4.0
mp-1018941,0, Pr: 2.0;Te: 2.0;Cl: 2.0
mp-1019089,0.3346, K: 2.0;Mg: 2.0;As: 2.0
mp-10191,0, Lu: 4.0;Mg: 2.0;Se: 8.0
mp-1019105,0, K: 2.0;Mg: 2.0;Bi: 2.0
mp-1019258,0, Sr: 2.0;F: 4.0
mp-1019322,1, Te: 4.0;W: 2.0
mp-1019378,0, Al: 3.0;Ga: 1.0;N: 4.0
mp-1019379,0, Al: 1.0;B: 3.0;N: 4.0
mp-1019380,0, Al: 3.0;B: 1.0;N: 4.0
mp-1019508,0, Al: 1.0;Ga: 3.0;N: 4.0
mp-1019510,0, Al: 16.0;P: 16.0;O: 64.0
mp-1019515,0, Ba: 12.0;Ga: 12.0;N: 20.0
mp-1019516,0, Ba: 32.0;Ga: 8.0;N: 24.0;O: 8.0
mp-1019517,1, Ba: 8.0;Mg: 2.0;Si: 4.0;N: 12.0
mp-1019520,1, Ba: 6.0;Ca: 4.0;Si: 4.0;N: 12.0
mp-1019521,1, Ba: 12.0;Mg: 4.0;Ge: 4.0;N: 16.0
mp-1019527,0, Ba: 12.0;Y: 8.0;B: 24.0;O: 60.0
mp-1019530,0, Ba: 8.0;P: 8.0;O: 28.0
mp-1019531,0.2562, Ba: 2.0;Al: 4.0;Si: 6.0;N: 8.0;O: 8.0
mp-1019534,0, Ba: 4.0;Al: 16.0;O: 28.0
mp-1019537,0.7028, Ba: 2.0;Al: 2.0;Si: 8.0;N: 10.0;O: 6.0
mp-1019541,0, Ba: 1.0;Ca: 3.0;O: 4.0
mp-1019542,0, Ba: 8.0;Ca: 8.0;B: 16.0;O: 40.0
mp-1019544,0, Ba: 2.0;Zr: 2.0;O: 6.0
mp-1019548,0.0252, Ba: 4.0;Ge: 4.0;S: 24.0;O: 84.0
mp-1019550,0, Be: 4.0;Ge: 4.0;N: 8.0
mp-1019554,0, Ba: 4.0;Na: 4.0;B: 20.0;O: 36.0
mp-1019555,0, Ba: 2.0;Na: 2.0;Li: 6.0;B: 12.0;O: 24.0
mp-1019561,0, Ca: 4.0;Ge: 2.0;O: 8.0
mp-1019562,0, Ca: 4.0;Si: 2.0;O: 8.0
mp-1019563,0.0238, Ca: 4.0;Si: 2.0;O: 8.0
mp-1019565,0, Ca: 12.0;Ga: 8.0;Ge: 12.0;O: 48.0
mp-1019566,0.6636, Ca: 3.0;Zn: 1.0;Ge: 5.0;O: 14.0
mp-1019568,0, Ca: 4.0;Al: 8.0;Si: 4.0;O: 24.0
mp-1019576,0, Ca: 16.0;Si: 4.0;N: 16.0
mp-1019578,1, Ca: 10.0;Si: 4.0;N: 12.0
mp-1019579,1, Ca: 8.0;Mg: 24.0;Si: 8.0;N: 32.0
mp-1019583,0, Ca: 4.0;Al: 8.0;Si: 4.0;O: 24.0
mp-1019584,0, Ca: 4.0;Al: 8.0;Si: 4.0;O: 24.0
mp-1019589,1, Ce: 3.0;Zr: 5.0;O: 16.0
mp-1019591,0.1176, Ce: 6.0;Zr: 2.0;O: 16.0
mp-1019595,0.1428, Ce: 5.0;Zr: 3.0;O: 16.0
mp-1019596,1, Ce: 2.0;Zr: 2.0;O: 8.0
mp-1019600,1, Ce: 2.0;Zr: 6.0;O: 16.0
mp-1019601,1, Ce: 1.0;Zr: 7.0;O: 16.0
mp-1019603,0, Cs: 8.0;Ba: 4.0;P: 8.0;O: 28.0
mp-1019608,0.0546, Cs: 24.0;B: 8.0;O: 24.0
mp-1019610,0, Cs: 16.0;Mg: 8.0;Si: 40.0;O: 96.0
mp-1019612,0.6804, Cs: 16.0;Zn: 4.0;O: 12.0
mp-1019708,0, Cs: 4.0;Ba: 4.0;Li: 4.0;P: 8.0;O: 28.0
mp-1019713,0, Cs: 16.0;Si: 12.0;O: 32.0
mp-1019719,0, Cs: 8.0;Si: 16.0;B: 8.0;O: 48.0
mp-1019721,0, Cs: 16.0;Mg: 16.0;B: 16.0;O: 48.0
mp-1019723,0.5796, Cs: 2.0;Zn: 8.0;B: 6.0;O: 18.0
mp-1019740,0, Ga: 1.0;B: 3.0;N: 4.0
mp-1019741,0, He: 8.0;Si: 8.0;O: 16.0
mp-1019742,0, He: 4.0;Si: 4.0;O: 8.0
mp-1019743,0, Ga: 3.0;B: 1.0;N: 4.0
mp-1019744,0, K: 4.0;Al: 4.0;Si: 6.0;O: 20.0
mp-1019745,0, K: 4.0;Ca: 6.0;Si: 6.0;O: 20.0
mp-1019775,0.7378, K: 4.0;Ge: 2.0;S: 12.0;O: 42.0
mp-1019781,0, K: 4.0;Na: 6.0;P: 6.0;O: 20.0
mp-1019783,0.0728, K: 16.0;S: 16.0;O: 24.0
mp-1019784,0.0952, K: 8.0;S: 4.0;N: 8.0;O: 20.0
mp-1019789,0, K: 12.0;B: 4.0;S: 12.0;O: 48.0
mp-1019791,0, K: 4.0;Zn: 2.0;P: 8.0;O: 24.0
mp-1019796,0, K: 8.0;P: 4.0;O: 14.0
mp-1019802,0, K: 2.0;Al: 2.0;P: 8.0;O: 24.0
mp-1019804,0, K: 4.0;B: 4.0;S: 8.0;O: 32.0
mp-1019808,0, K: 6.0;Be: 12.0;B: 18.0;O: 42.0
mp-1019888,1, K: 1.0;Na: 2.0;B: 1.0;N: 2.0
mp-1019891,0, K: 12.0;P: 12.0;S: 12.0;O: 24.0
mp-1019893,1, La: 6.0;Si: 12.0;N: 22.0
mp-1019895,0, La: 12.0;B: 4.0;N: 8.0;O: 12.0
