mp-id, label, stoichiometry
mp-1000,1.155, Ba: 1.0;Te: 1.0
mp-10009,0, Ga: 4.0;Te: 4.0
mp-1001012,0, Sc: 4.0;Zn: 2.0;S: 8.0
mp-1001015,0, Y: 4.0;Zn: 2.0;S: 8.0
mp-1001019,0, Mg: 2.0;Sc: 4.0;Se: 8.0
mp-1001024,0, Y: 4.0;Mg: 2.0;S: 8.0
mp-1001034,0, Mg: 2.0;In: 4.0;Se: 8.0
mp-1001112,0, Na: 16.0;H: 24.0;C: 8.0;O: 48.0
mp-1001604,2.5863, Lu: 1.0;Tl: 1.0;S: 2.0
mp-1001611,2.1414, Lu: 1.0;Tl: 1.0;Se: 2.0
mp-1001780,0.3686, Lu: 1.0;Cu: 1.0;S: 2.0
mp-1001786,0.8743, Li: 1.0;Sc: 1.0;S: 2.0
mp-1001831,0, Li: 2.0;B: 2.0
mp-1002063,0, Sn: 2.0;S: 4.0
mp-1002080,0.1166, Cs: 1.0;Li: 1.0;I: 1.0;Cl: 1.0
mp-1002124,0, Hf: 1.0;C: 1.0
mp-1002569,0, Mg: 2.0;Mn: 2.0;O: 4.0
mp-1002570,1.0724, K: 4.0;Mn: 4.0;O: 8.0
mp-1002572,2.8795, Li: 4.0;Mn: 4.0;O: 8.0
mp-1002574,0.1276, K: 4.0;Mn: 4.0;O: 8.0
mp-1003311,0, Ca: 1.0;Mn: 2.0;O: 4.0
mp-1003320,0, Ca: 4.0;Mn: 16.0;O: 32.0
mp-1003322,0.4656, Ca: 4.0;Mn: 4.0;O: 8.0
mp-1003402,1.8216, Ca: 4.0;Mn: 4.0;O: 8.0
mp-1003437,2.3989, K: 8.0;Mn: 16.0;O: 32.0
mp-1003548,2.4735, Ca: 4.0;Mn: 8.0;O: 16.0
mp-1003856,0, Mg: 4.0;Mn: 4.0;O: 8.0
mp-1003920,0, Mn: 8.0;H: 4.0;O: 16.0
mp-10044,1.9862, B: 1.0;As: 1.0
mp-1006058,0, U: 2.0;Cd: 4.0;O: 10.0
mp-1006118,0.1796, P: 4.0;S: 14.0
mp-1006878,0.1467, Ba: 1.0;O: 2.0
mp-1006885,1.0346, K: 1.0;Nd: 1.0;S: 2.0
mp-1006888,1.1137, K: 1.0;Y: 1.0;S: 2.0
mp-1006891,0.9288, K: 1.0;Sm: 1.0;Se: 2.0
mp-10070,0.0282, Ba: 4.0;Ag: 4.0;P: 12.0;O: 36.0
mp-10074,0.025, Ge: 2.0;Se: 4.0
mp-1007636,1.2361, K: 1.0;Lu: 1.0;S: 2.0
mp-1007663,1.5399, Ho: 1.0;Tl: 1.0;Te: 2.0
mp-1007665,2.1827, Ho: 1.0;Tl: 1.0;S: 2.0
mp-1007694,0.0397, Sn: 4.0;P: 4.0;O: 16.0;F: 4.0
mp-1007823,0.3515, Ga: 1.0;B: 1.0;N: 2.0
mp-1007824,0.489, Ga: 2.0;N: 2.0
mp-1007907,1.5974, Er: 1.0;Tl: 1.0;Te: 2.0
mp-1007908,1.5114, Dy: 1.0;Tl: 1.0;Te: 2.0
mp-1007922,0, Cu: 2.0;I: 2.0
mp-1008223,0.0908, Ca: 1.0;Se: 1.0
mp-1008394,0, Cl: 4.0
mp-1008492,0.1415, Br: 2.0;Cl: 2.0
mp-1008500,0.6092, Ba: 2.0;O: 2.0
mp-1008524,1.7627, Be: 2.0;Se: 2.0
mp-1008528,0.344, B: 2.0;As: 1.0;P: 1.0
mp-1008556,0, Al: 1.0;Ga: 1.0;N: 2.0
mp-1008557,0, Al: 1.0;B: 1.0;N: 2.0
mp-1008559,1.653, B: 2.0;P: 2.0
mp-1008561,1.6301, Tm: 1.0;Tl: 1.0;Te: 2.0
mp-10086,0, Y: 2.0;S: 2.0;F: 2.0
mp-1008677,0.7908, Ti: 1.0;O: 2.0
mp-1008680,0.9022, Ti: 1.0;Ge: 1.0;Pt: 1.0
mp-1008786,1.4615, Mg: 1.0;Te: 1.0
mp-1009082,0, Mg: 2.0;Sn: 2.0;As: 4.0
mp-1009083,0, Mg: 2.0;Sn: 2.0;P: 4.0
mp-1009084,0.1827, Be: 2.0;Sn: 2.0;As: 4.0
mp-1009085,0, Be: 2.0;Si: 2.0;P: 4.0
mp-1009086,0.1633, Be: 2.0;Sn: 2.0;P: 4.0
mp-1009087,0, Be: 2.0;Si: 2.0;As: 4.0
mp-1009088,0.4043, Be: 2.0;Ge: 2.0;As: 4.0
mp-10091,0.1331, K: 2.0;V: 2.0;Cu: 4.0;Se: 8.0
mp-1009127,0.9514, Mg: 1.0;O: 1.0
mp-1009129,0.3903, Mg: 1.0;O: 1.0
mp-1009490,0, O: 2.0
mp-10096,0, Na: 6.0;Sr: 6.0;Ga: 2.0;P: 8.0
mp-1009639,1.7992, Pr: 1.0;N: 1.0
mp-10097,0, Na: 6.0;Sr: 6.0;Ga: 2.0;As: 8.0
mp-1009730,1.319, Ca: 2.0;Sn: 1.0
mp-1009733,1.5831, Ca: 2.0;Si: 1.0
mp-1009746,0, Sc: 1.0;P: 1.0
mp-1009750,2.429, Sc: 1.0;N: 1.0
mp-1009755,1.2074, Ca: 2.0;Ge: 1.0
mp-1009756,0.6912, Ca: 2.0;Pb: 1.0
mp-1009813,0, Si: 1.0;Sn: 1.0
mp-1009819,0.0401, Sr: 1.0;O: 1.0
mp-1009820,0, Sn: 1.0;C: 1.0
mp-10101,0, Cs: 2.0;Ag: 2.0;C: 4.0
mp-1011695,0.4581, Cs: 2.0;Se: 1.0
mp-1011696,0, Cs: 8.0;Se: 4.0
mp-1012435,0.4809, Pb: 2.0;S: 2.0
mp-1012551,0, Ba: 4.0;Br: 4.0;Cl: 4.0
mp-1012835,0.3858, Sm: 2.0;Cu: 2.0;W: 4.0;O: 16.0
mp-1013527,0.3785, Be: 2.0;Ge: 2.0;P: 4.0
mp-1013544,0, Ca: 3.0;Sb: 1.0;As: 1.0
mp-1013547,0, Ca: 3.0;P: 2.0
mp-1013548,0, Ca: 3.0;Sb: 1.0;N: 1.0
mp-1013550,0, Ca: 3.0;Sb: 1.0;P: 1.0
mp-1013554,0, Sr: 3.0;P: 1.0;N: 1.0
mp-1013555,0, Sr: 3.0;As: 1.0;N: 1.0
mp-1013588,0, Sr: 3.0;Sb: 1.0;P: 1.0
mp-1013726,0, Cd: 8.0;S: 2.0;F: 12.0
mp-1013730,0.0073, Cd: 10.0;S: 8.0;Cl: 4.0
mp-1013737,0, Ba: 3.0;Sb: 1.0;P: 1.0
mp-1013750,0, Sn: 8.0;S: 2.0;F: 12.0
mp-1013760,0.3885, Sn: 10.0;S: 8.0;Cl: 4.0
mp-1013898,2.2695, Li: 2.0;Mo: 6.0;P: 6.0;O: 26.0
mp-1013911,0.5134, Na: 8.0;Co: 4.0;P: 8.0;O: 28.0
mp-1014013,0, P: 4.0
mp-1014168,0, Cs: 2.0;Pb: 2.0;Br: 6.0
mp-1014204,2.3367, Sn: 10.0;S: 8.0;Cl: 4.0
mp-1014244,0.4731, Zr: 1.0;Zn: 1.0;N: 2.0
mp-1014251,0.0963, Hf: 1.0;Zn: 1.0;N: 2.0
mp-10155,1.1226, P: 8.0;Ir: 4.0
mp-10159,0, K: 3.0;Sb: 1.0
mp-1016092,0.0079, Re: 16.0;O: 56.0
mp-1016108,0.6477, Ti: 4.0;Zn: 4.0;N: 8.0
mp-1016120,1.8229, K: 4.0;Mn: 4.0;O: 8.0
mp-1016152,2.0051, Na: 4.0;Mn: 4.0;O: 8.0
mp-1016154,0, Mg: 4.0;Mn: 4.0;O: 8.0
mp-1016190,2.3373, K: 4.0;Mn: 12.0;O: 24.0
mp-1016197,0, Mg: 2.0;Si: 2.0;As: 4.0
mp-1016200,0, Mg: 2.0;Ge: 2.0;As: 4.0
mp-10163,0, Na: 2.0;Al: 2.0;Te: 4.0
mp-10165,0.6011, K: 2.0;Al: 2.0;Te: 4.0
mp-10166,0.238, Na: 2.0;Al: 2.0;Se: 4.0
mp-1016820,1.0541, Mg: 1.0;Sn: 1.0;O: 3.0
mp-1016821,0.1135, Ba: 1.0;Si: 1.0;O: 3.0
mp-1016825,0.3692, Hf: 1.0;Mg: 1.0;O: 3.0
mp-1016827,1.3501, Mg: 1.0;Ge: 1.0;O: 3.0
mp-1016830,0.5369, Mg: 1.0;Ti: 1.0;O: 3.0
mp-1016873,0.294, Ca: 1.0;Hf: 1.0;O: 3.0
mp-1016879,1.4129, Cd: 1.0;Si: 1.0;O: 3.0
mp-1016884,0.9474, Ca: 1.0;Ge: 1.0;O: 3.0
mp-1016928,1.4909, Mg: 1.0;Si: 1.0;O: 3.0
mp-1017000,0.2873, Mg: 1.0;Zr: 1.0;O: 3.0
mp-1017439,0.6469, Sr: 1.0;Si: 1.0;O: 3.0
mp-10175,1.2183, K: 1.0;Cd: 1.0;F: 3.0
mp-1017508,1.7248, Lu: 1.0;Tl: 1.0;Te: 2.0
mp-1017510,0.8687, Mg: 2.0;Te: 2.0
mp-1017534,0, Zn: 1.0;Cd: 1.0;Se: 2.0
mp-1017539,0, Zn: 2.0;O: 2.0
mp-1017548,0.684, Ca: 1.0;Be: 2.0;P: 2.0
mp-1017552,1.1972, Bi: 2.0;O: 3.0
mp-1017567,1.125, Hf: 2.0;S: 1.0;N: 2.0
mp-1017628,1.9552, Mg: 1.0;Be: 2.0;P: 2.0
mp-1017988,0, Sr: 1.0;Ca: 1.0;O: 2.0
mp-1018025,0.9903, Lu: 1.0;Ag: 1.0;O: 2.0
mp-1018030,0, Sr: 2.0;S: 1.0;O: 1.0
mp-1018031,0.1297, K: 1.0;In: 1.0;O: 2.0
mp-1018033,1.697, Ag: 1.0;Rh: 1.0;O: 2.0
mp-1018040,0, Mg: 2.0;Se: 2.0
mp-1018049,0.2667, La: 2.0;N: 2.0
mp-1018089,0.1211, Ca: 1.0;Zn: 1.0;Se: 2.0
mp-1018096,0, Ba: 2.0;N: 1.0;F: 1.0
mp-1018097,0.3294, Ba: 1.0;Ca: 1.0;O: 2.0
mp-1018098,0, Ba: 2.0;Br: 1.0;N: 1.0
mp-1018099,0, Ba: 2.0;N: 1.0;Cl: 1.0
