mp-id, label, stoichiometry
mp-1000,0, Ba: 1.0;Te: 1.0
mp-10009,1, Ga: 4.0;Te: 4.0
mp-1001012,1, Sc: 4.0;Zn: 2.0;S: 8.0
mp-1001015,1, Y: 4.0;Zn: 2.0;S: 8.0
mp-1001019,1, Mg: 2.0;Sc: 4.0;Se: 8.0
mp-1001024,1, Y: 4.0;Mg: 2.0;S: 8.0
mp-1001034,1, Mg: 2.0;In: 4.0;Se: 8.0
mp-1001112,1, Na: 16.0;H: 24.0;C: 8.0;O: 48.0
mp-1001604,0, Lu: 1.0;Tl: 1.0;S: 2.0
mp-1001611,0, Lu: 1.0;Tl: 1.0;Se: 2.0
mp-1001780,0, Lu: 1.0;Cu: 1.0;S: 2.0
mp-1001786,0, Li: 1.0;Sc: 1.0;S: 2.0
mp-1001831,1, Li: 2.0;B: 2.0
mp-1002063,1, Sn: 2.0;S: 4.0
mp-1002080,0, Cs: 1.0;Li: 1.0;I: 1.0;Cl: 1.0
mp-1002124,1, Hf: 1.0;C: 1.0
mp-1002569,1, Mg: 2.0;Mn: 2.0;O: 4.0
mp-1002570,0, K: 4.0;Mn: 4.0;O: 8.0
mp-1002572,0, Li: 4.0;Mn: 4.0;O: 8.0
mp-1002574,0, K: 4.0;Mn: 4.0;O: 8.0
mp-1003311,1, Ca: 1.0;Mn: 2.0;O: 4.0
mp-1003320,1, Ca: 4.0;Mn: 16.0;O: 32.0
mp-1003322,0, Ca: 4.0;Mn: 4.0;O: 8.0
mp-1003402,0, Ca: 4.0;Mn: 4.0;O: 8.0
mp-1003437,0, K: 8.0;Mn: 16.0;O: 32.0
mp-1003548,0, Ca: 4.0;Mn: 8.0;O: 16.0
mp-1003856,1, Mg: 4.0;Mn: 4.0;O: 8.0
mp-1003920,1, Mn: 8.0;H: 4.0;O: 16.0
mp-10044,0, B: 1.0;As: 1.0
mp-1006058,1, U: 2.0;Cd: 4.0;O: 10.0
mp-1006118,0, P: 4.0;S: 14.0
mp-1006878,0, Ba: 1.0;O: 2.0
mp-1006885,0, K: 1.0;Nd: 1.0;S: 2.0
mp-1006888,0, K: 1.0;Y: 1.0;S: 2.0
mp-1006891,0, K: 1.0;Sm: 1.0;Se: 2.0
mp-10070,0, Ba: 4.0;Ag: 4.0;P: 12.0;O: 36.0
mp-10074,1, Ge: 2.0;Se: 4.0
mp-1007636,0, K: 1.0;Lu: 1.0;S: 2.0
mp-1007663,0, Ho: 1.0;Tl: 1.0;Te: 2.0
mp-1007665,0, Ho: 1.0;Tl: 1.0;S: 2.0
mp-1007694,0, Sn: 4.0;P: 4.0;O: 16.0;F: 4.0
mp-1007823,0, Ga: 1.0;B: 1.0;N: 2.0
mp-1007824,0, Ga: 2.0;N: 2.0
mp-1007907,0, Er: 1.0;Tl: 1.0;Te: 2.0
mp-1007908,0, Dy: 1.0;Tl: 1.0;Te: 2.0
mp-1007922,1, Cu: 2.0;I: 2.0
mp-1008223,0, Ca: 1.0;Se: 1.0
mp-1008394,1, Cl: 4.0
mp-1008492,0, Br: 2.0;Cl: 2.0
mp-1008500,0, Ba: 2.0;O: 2.0
mp-1008524,0, Be: 2.0;Se: 2.0
